Materialnr.;Unnamed: 1;Artikelbezeichnung;Artikelbezeichnung 2;"Waren
gruppe";" Artkel 
VK 01.01.19 ";" Material/
100mm
01.01.2019 "; Schnitt ; Preiseinheit ;Max. Zuschnitt; Sonder Rabatte 
415901309;842901309;Karabinerhaken;Material:Stahl verzinkt;010122; 2,65 € ;;;1.0;;
406537592;3842537592;Abschlussplatte ohne Stop, inkl. 2x Schraube S6x16;-;010123; 2,69 € ;;;1.0;;
406537593;3842537593;Abschlussplatte mit Stop, inkl. 2 x Schraube S 6x16;-;010123; 2,91 € ;;;1.0;;
462548720;3842517146;Abdeckkappe für Eckwinkel 20, Rundform, Kunststoff PA;-;010122; 1,19 € ;;;1.0;;
842901309;415901309;Karabinerhaken;siehe Artikelnummer B-45, BR auf Anfrage;--; auf Anfrage ;;;;;
1845410015;406410015;Einstecktasche;siehe Artikelnummer B-45, BR auf Anfrage;--; auf Anfrage ;;;;;
208530005;208530005;Systemtüre Variante 2 mit Halteblech;-;010141; 83,95 € ;;;1.0;;
282500002;0.0.621.77;Dichtschnur D6, EPDM, grau;-;010221; 1,04 € ;;;1.0;;
0.0.621.77;282500002;Dichtschnur D6, EPDM, grau;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
201010003;0.0.436.88;Scheibendichtung 2-4/4-6 N8/10 Schwarz Kunststoff TPE;"Abnahmemenge: pro Meter; max. 100m";010221; 1,28 € ;;;1.0;;
201010004;0.0.436.85;Scheibendichtung Nut8 2-4mm Nut10 4 mm Kunststoff TPE;"Abnahmemenge: pro Meter; max. 100m";010221; 2,92 € ;;;1.0;;
201010005;0.0.489.91;Scheibendichtung Nut8 2-4mm Nut10 4 mm Kunststoff TPE;"Abnahmemenge: pro Meter; max. 100m";010221; 2,92 € ;;;1.0;;
201032100;0.0.452.01;Abdeckprofil 32, Nut 8;10 St. x 3000 mm;010212; 104,59 € ;;;1.0;;
201080000;0.0.453.65;Wandprofil 80;10 St. x 3000 mm;010212; 193,50 € ;;;1.0;;
201080999;0.0.196.42;Wandprofil 80;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,75 € ; 1,59 € ;1.0;3000,0;
201120000;0.0.453.66;Wandprofil 120;10 St. x 3000 mm;010212; 284,50 € ;;;1.0;;
201120120;0.0.418.33;Abdeckkappe für Kabelkanal 120x120;Anschraublöcher d=5mm;010221; 5,63 € ;;;1.0;;
201120160;0.0.411.35;Abdeckkappe für Kabelkanal 120x160;Anschraublöcher d=5mm;010221; 5,21 € ;;;1.0;;
201120999;0.0.411.19;Wandprofil 120;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 1,10 € ; 1,59 € ;1.0;3000,0;
201260000;0.0.453.57;Trägerprofil 160 ohne Nut;10 St. x 3000 mm;010212; 397,00 € ;;;1.0;;
201260999;0.0.265.84;Trägerprofil 160 ohne Nut;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 1,54 € ; 1,59 € ;1.0;3000,0;
201280000;0.0.453.52;Trägerprofil 80 ohne Nut;10 St. x 3000 mm;010212; 237,50 € ;;;1.0;;
201280999;0.0.196.41;Trägerprofil 80 ohne Nut;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,92 € ; 1,59 € ;1.0;3000,0;
201400000;0.0.452.09;Kanaldeckel 40;12 St. x 3000mm;010212; 133,39 € ;;;1.0;;
201400100;0.0.453.90;Verbindungsprofil 40 (Paar), Nut 8;Chrom-Vanadium-Stahl, matt verchromt;010212; 982,80 € ;;;1.0;;
201400999;7.0.001.46;Kanaldeckel 40;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,41 € ; 1,59 € ;1.0;3000,0;
201401200;0.0.411.33;Abdeckkappe für Kabelkanal 40x120;Kunststoff PA, schwarz;010221; 1,99 € ;;;1.0;;
201401600;0.0.364.81;Abdeckkappe für Kabelkanal 40x160;Kunststoff PA, schwarz;010221; 3,21 € ;;;1.0;;
201404000;0.0.487.28;Kabelkanal 40x40;12 St. x 3000mm;010212; 235,85 € ;;;1.0;;
201404010;0.0.196.88;Abdeckkappe für Kabelkanal 40x40;Kunststoff PA, schwarz;010221; 1,18 € ;;;1.0;;
201404020;0.0.479.74;Durchführung Wand 40;Kunststoff PA, schwarz;010221; 1,23 € ;;;1.0;;
201404030;0.0.479.76;Durchführung Deckel 40;-;010221; 1,04 € ;;;1.0;;
201404999;0.0.487.27;Kabelkanal 40x40;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,73 € ; 1,73 € ;1.0;3000,0;
201408000;0.0.487.43;Kabelkanal 80x40;8 St. x 3000mm;010212; 234,98 € ;;;1.0;;
201408010;0.0.196.89;Abdeckkappe für Kabelkanal 40x80;Kunststoff PA, schwarz;010221; 1,86 € ;;;1.0;;
201408999;0.0.487.42;Kabelkanal 80x40;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 1,09 € ; 2,12 € ;1.0;3000,0;
201500000;0.0.453.46;Rohr D50 AL;9 St. x 6000 mm;010212; 399,60 € ;;;1.0;;
201600100;0.0.452.02;Abdeckprofil 60, Nut 8;10 St. x 3000 mm;010212; 155,16 € ;;;1.0;;
201800000;7.0.002.77;Kanaldeckel 80;8 St. x 3000mm;010212; 151,61 € ;;;1.0;;
201800999;7.0.002.73;Kanaldeckel 80;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,70 € ; 1,59 € ;1.0;3000,0;
201801200;0.0.411.34;Abdeckkappe für Kabelkanal 80x120;Kunststoff PA, schwarz;010221; 3,46 € ;;;1.0;;
201801600;0.0.265.97;Abdeckkappe für Kabelkanal 80x160;Kunststoff PA, schwarz;010221; 6,02 € ;;;1.0;;
201801645;0.0.406.67;Abdeckkappe für Kabelkanal 80x160 20°;Material: Kunststoff PA schwarz;010221; 6,45 € ;;;1.0;;
201808000;0.0.487.46;Kabelkanal 80x80;8 St. x 3000mm;010212; 371,01 € ;;;1.0;;
201808010;0.0.196.90;Abdeckkappe für Kabelkanal 80x80;Kunststoff PA, schwarz;010221; 3,64 € ;;;1.0;;
201808020;0.0.479.75;Durchführung Wand 80;Kunststoff PA, schwarz;010221; 1,46 € ;;;1.0;;
201808030;0.0.479.77;Durchführung Deckel 80;-;010221; 1,19 € ;;;1.0;;
201808045;0.0.406.68;Abdeckkappe für Kabelkanal 80x80 45°;Material: Kunststoff PA schwarz;010221; 3,03 € ;;;1.0;;
201808999;0.0.487.45;Kabelkanal 80x80;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 1,72 € ; 2,30 € ;1.0;3000,0;
202100500;0.0.459.05;Befestigungssatz 6 für Schloßsystem 6-;-;010221; 3,72 € ;;;1.0;;
202100501;0.0.458.36;Befestigungssatz 8 für Schloßsystem 6-;-;010221; 3,72 € ;;;1.0;;
202100502;0.0.653.82;Befestigungssatz 8 D30;-;010221; 3,72 € ;;;1.0;;
202100503;0.0.653.06;Befestigungssatz 8 80 D30;-;010221; 3,72 € ;;;1.0;;
202200200;0.0.406.40;Endschalter 6,5 mm;Material: Kunststoff PA glasfaserverst.;010221; 1,28 € ;;;1.0;;
202200201;0.0.406.41;Endschalter 8,0 mm;Material: Kunststoff PA glasfaserverst.;010221; 1,28 € ;;;1.0;;
202200202;0.0.406.42;Endschalter 12,0 mm;Material: Kunststoff PA glasfaserverst.;010221; 1,28 € ;;;1.0;;
202200203;0.0.411.30;Endschalter D 18,0 mm;Material: Kunststoff PA glasfaserverst.;010221; 2,12 € ;;;1.0;;
202200204;0.0.411.31;Endschalter D 20,0 mm;Material: Kunststoff PA glasfaserverst.;010221; 2,10 € ;;;1.0;;
202300104;0.0.419.65;Winkel 60x60 Nut 6 und 12;Material: Zinkdruckguss blank;010221; 4,36 € ;;;1.0;;
202300104;0.0.003.20;Winkel 60x60 Nut 6 und 12;Material: Zinkdruckguss blank;010221; 4,36 € ;;;1.0;;
202300115;202300115;Winkel 60x60 Nut 6, Inkl. Befestigung ;und Abdeckkappe ;010221; 9,22 € ;;;1.0;;
202300205;202300205;Winkel 60x60 Nut 6 silber pulverbeschich;inkl. Befestigung und Abdeckkappe;010221; 11,46 € ;;;1.0;;
202311001;0.0.441.97;"Gelenkwinkel 30; ESD";Material: Zinkdruckguss blank;010221; 3,93 € ;;;1.0;;
0.0.441.97;202311001;"Gelenkwinkel 30; ESD";siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
202311002;0.0.457.76;"Gelenkwinkel 40; ESD";Material: Zinkdruckguss blank;010221; 4,67 € ;;;1.0;;
0.0.457.76;202311002;"Gelenkwinkel 40; ESD";siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
202311003;0.0.441.97;"Gelenkwinkel 30; ";Material: Zinkdruckg. alufarbig lackiert;010221; 4,99 € ;;;1.0;;
0.0.441.97;202311003;"Gelenkwinkel 30; ";siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
202311004;0.0.457.76;"Gelenkwinkel 40;";Material: Zinkdruckg. alufarbig lackiert;010221; 5,41 € ;;;1.0;;
0.0.457.76;202311004;"Gelenkwinkel 40;";siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
202311005;0.0.457.76;"Gelenkwinkel 40; inkl. 2 Schrauben ISO";"7380 M8x18; 2 Scheiben DIN125";010221; 7,53 € ;;;1.0;;
0.0.457.76;202311005;"Gelenkwinkel 40; inkl. 2 Schrauben ISO";siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
202311102;202311102;"Blindstopfen; Material: PVC, schwarz";für Bearbeitung D4,3 Nut5;010221; 9,24 € ;;;100.0;;
202311103;202311103;"Blindstopfen; Material: PVC, schwarz";für Bearbeitung D5,5 Nut6;010221; 10,30 € ;;;100.0;;
202311104;202311104;"Blindstopfen; Material: PVC, schwarz";für Bearbeitung D14,2 Nut8;010221; 12,87 € ;;;100.0;;
202350100;0.0.474.60;Befestigungswinkel 40x40x20;Material: Zinkdruckguss schwarz;010221; 3,40 € ;;;1.0;;
202350101;0.0.474.61;Befestigungswinkel 60x40x20;Material: Zinkdruckguss schwarz;010221; 3,51 € ;;;1.0;;
202350102;0.0.474.62;Befestigungswinkel 60x60x20;Material: Zinkdruckguss schwarz;010221; 3,68 € ;;;1.0;;
202350103;0.0.474.63;Befestigungswinkel 80x40x20;Material: Zinkdruckguss schwarz;010221; 4,28 € ;;;1.0;;
0.0.474.63;202350103;Befestigungswinkel 80x40x20;siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
202350400;0.0.416.33;Anschlagpuffer M4 D15x15;Material: NBR, schwarz;010221; 1,10 € ;;;1.0;;
202350401;0.0.416.35;Anschlagpuffer M6 D20x15;Material: NBR, schwarz;010221; 1,47 € ;;;1.0;;
202350402;0.0.416.37;Anschlagpuffer M8 D30x30;Material: NBR, schwarz;010221; 2,74 € ;;;1.0;;
202350403;0.0.416.39;Parabel-Feder M8 D30x36;Material: NBR, schwarz;010221; 4,69 € ;;;1.0;;
202350404;0.0.416.41;Parabel-Feder M10 D50x58;Material: NBR, schwarz;010221; 8,35 € ;;;1.0;;
202350405;0.0.416.43;Parabel-Feder M12 D75x89;Material: NBR, schwarz;010221; 14,93 € ;;;1.0;;
202500100;7.0.001.30;"Profil M W40x40x4E; L= 2000 mm";Aluminium eloxiert;010221; 11,59 € ;;;1.0;;
202500100;7.0.002.70;"Profil M W40x40x4E; L= 2000 mm";Aluminium eloxiert;010221; 11,59 € ;;;1.0;;
202500101;7.0.001.32;"Profil M W80x40x8E; L= 2000 mm";Aluminium eloxiert;010221; 30,58 € ;;;1.0;;
202500101;7.0.002.71;"Profil M W80x40x8E; L= 2000 mm";Aluminium eloxiert;010221; 30,58 € ;;;1.0;;
202500102;7.0.002.72;"Profil M W80x80x8E; L= 2000 mm";Aluminium eloxiert;010221; 44,57 € ;;;1.0;;
202528600;0.0.370.35;Stufenbohrer D12 ;-;010121; 41,85 € ;;;1.0;;
202528602;0.0.465.90;Stufenbohrer D20;-;010121; 90,68 € ;;;1.0;;
202528603;0.0.026.90;Stufenbohrer MK2 D20;-;010121; 85,39 € ;;;1.0;;
202528604;0.0.465.89 ;Bohreinheit Nut8;-;010121; 343,91 € ;;;1.0;;
202528605;0.0.265.21;Stufenbohrer D15;-;010121; 74,26 € ;;;1.0;;
202528606;0.0.492.60;Stufenbohrer Gehrungsverbinder D14,2;-;010121; 130,69 € ;;;1.0;;
202528700;0.0.644.68;"Schraubendrehereinsatz SW5 1/4""";Chrom-Vanadium-Stahl, matt verchromt;010221; 9,86 € ;;;1.0;;
202528800;0.0.627.48;Sicherheits-Winkelschraubendrehersatz ;"SW1,5-6; Farbcodierung: Rainbow";010221; 22,19 € ;;;1.0;;
202528850;0.0.473.79;Schraubendreher SW1,5 Gesamtlänge 89 mm;-;010221; 4,96 € ;;;1.0;;
202528851;0.0.473.78;Schraubendreher SW2,0 Gesamtlänge 169 m;-;010221; 5,02 € ;;;1.0;;
202528852;0.0.370.58;Schraubendreher SW3 Gesamtlänge 181mm;-;010221; 5,21 € ;;;1.0;;
202528853;0.0.406.60;Schraubendreher SW4 Gesamtlänge 198mm;-;010221; 5,63 € ;;;1.0;;
202528854;0.0.026.54;Schraubendreher SW5 Gesamtlänge 205mm;-;010221; 6,77 € ;;;1.0;;
202528855;0.0.406.91;Schraubendreher SW6 Gesamtlänge 230mm;-;010221; 8,70 € ;;;1.0;;
202528856;0.0.480.34;Schraubendreher SW8 Gesamtlänge 262mm;-;010221; 12,48 € ;;;1.0;;
202528857;0.0.480.35;Schraubendreher SW10 Gesamtlänge 262mm;-;010221; 14,91 € ;;;1.0;;
202528870;0.0.370.59;Schraubendreher mit Quergriff SW3;-;010221; 3,92 € ;;;1.0;;
202528871;0.0.406.39;Schraubendreher mit Quergriff SW4;-;010221; 4,15 € ;;;1.0;;
202528872;0.0.026.29;Schraubendreher mit Quergriff SW5;-;010221; 4,74 € ;;;1.0;;
202528873;0.0.406.38;Schraubendreher mit Quergriff SW6;-;010221; 5,30 € ;;;1.0;;
202528874;0.0.480.36;Schraubendreher mit Quergriff SW8;-;010221; 6,79 € ;;;1.0;;
202528875;0.0.480.37;Schraubendreher mit Quergriff SW10;-;010221; 9,07 € ;;;1.0;;
202528900;0.0.265.63;Allzweckschere Länge 200 mm;-;010221; 42,40 € ;;;1.0;;
202535640;202535640;Aluminium Kombischarnier 30.30;Material:  Alu Druckguss, vernickelt;010221; 7,86 € ;;;1.0;;
202535644;202535644;Aluminium Kombischarnier 40.40;Material:  Alu Druckguss, vernickelt;010221; 8,09 € ;;;1.0;;
202535646;202535646;Aluminium Kombischarnier 50.50;Material:  Alu Druckguss, vernickelt;010221; 10,00 € ;;;1.0;;
202535648;202535648;Aluminium Kombischarnier 60.60;Material:  Alu Druckguss, vernickelt;010221; 10,22 € ;;;1.0;;
202600013;0.0.373.42;"Kunststoffscharnier doppelt; aushängbar";"Nut 8; Material: Kunststoff PA glasfaser";010221; 3,94 € ;;;1.0;;
0.0.373.42;202600013;"Kunststoffscharnier doppelt; aushängbar Nut 8";siehe Artikelnummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
202600014;0.0.370.18;Kunststoffscharnier 20 Mini Nut 5;"FAmax(N): 240; FRmax(N): 300";010221; 1,12 € ;;;1.0;;
202600015;202600015;Innenliegendes Scharnier Flügel 20;Material: Aluminium eloxiert;010221; 2,10 € ;;;1.0;;
202600016;202600016;Innenliegendes Scharnier Flügel 25;Material: Aluminium eloxiert;010221; 2,18 € ;;;1.0;;
202600017;202600017;Innenliegendes Scharnier Flügel 30;Material: Aluminium eloxiert;010221; 2,20 € ;;;1.0;;
202600018;202600018;Innenliegendes Scharnier Flügel 40;Material: Aluminium eloxiert;010221; 2,30 € ;;;1.0;;
202600019;202600019;Innenliegendes Scharnier Flügel 45;Material: Aluminium eloxiert;010221; 2,39 € ;;;1.0;;
202600020;202600020;Innenliegendes Scharnier Flügel 50;Material: Aluminium eloxiert;010221; 2,43 € ;;;1.0;;
202600021;202600021;Innenliegendes Scharnier Flügel 60;Material: Aluminium eloxiert;010221; 2,46 € ;;;1.0;;
202600022;202600022;Achse für Innenliegendes Scharnier;Material: Edelstahl ;010221; 2,06 € ;;;1.0;;
202600023;202600023;Abdeckkappe für Innenliegendes Scharnie;Material: Kunststoff PA schwarz;010221; 0,34 € ;;;1.0;;
202600024;0.0.373.82;"Metallscharnier leicht; nicht aushängba";Material: stahl, schwarz pulverbesch.;010221; 3,64 € ;;;1.0;;
202600030;0.0.488.94;Aluminium Scharnier 40 leicht;"Alu-Druckguss; inkl Befestigung";010221; 8,57 € ;;;1.0;;
202600031;202600031;Abdeckkappe für Aluscharnier Al;Material: Kunststoff ähnlich RAL9006 ;010221; 0,35 € ;;;1.0;;
202652021;0.0.003.50;Automatikverbinder Nut12, inkl. ;Nutenstein mit Steg;010221; 8,95 € ;;;1.0;;
203500300;203500300;Transport- und Fußplatte 30x60mm;D=7 (M6) Gewinde M10, ;010221; 4,50 € ;;;1.0;;
203500301;203500301;Transport- und Fußplatte 30x60mm;D=7 (M6) Gewinde M12;010221; 4,50 € ;;;1.0;;
203500302;203500302;Transport- und Fußplatte 30x60 ;D=7 (M6) Gewinde M16;010221; 4,50 € ;;;1.0;;
203500303;203500303;Transport- und Fußplatte 40x40 Nut 5;D=5,5 (M5) Gewinde M8;010221; 5,30 € ;;;1.0;;
203500304;203500304;Transport- und Fußplatte 40x40 Nut 5;D=5,5 (M5) Gewinde M10;010221; 4,48 € ;;;1.0;;
203500305;203500305;Transport- und Fußplatte 40x40 Nut 5;D=5,5 (M5) Gewinde M12;010221; 4,48 € ;;;1.0;;
203500306;203500306;Transport- und Fußplatte 40x80;D=9 (M8) Gewinde M10;010221; 6,24 € ;;;1.0;;
203500307;203500307;Transport- und Fußplatte 40x80;D=9 (M8) Gewinde M12;010221; 6,24 € ;;;1.0;;
203500308;203500308;Transport- und Fußplatte 40x80;D=9 (M8) Gewinde M16;010221; 6,24 € ;;;1.0;;
203500309;203500309;Transport- und Fußplatte 60x60;D=7 (M6) Gewinde M10;010221; 6,86 € ;;;1.0;;
203500310;203500310;Transport- und Fußplatte 60x60;D=7 (M6) Gewinde M12;010221; 6,74 € ;;;1.0;;
203500311;203500311;Transport- und Fußplatte 60x60;D=7 (M6) Gewinde M16;010221; 6,74 € ;;;1.0;;
203500312;203500312;Transport- und Fußplatte 80x80;D=9 (M8) Gewinde M10;010221; 8,94 € ;;;1.0;;
203500313;203500313;Transport- und Fußplatte 80x80;D=9 (M8) Gewinde M12;010221; 8,94 € ;;;1.0;;
203500314;203500314;Transport- und Fußplatte 80x80;D=9 (M8) Gewinde M16;010221; 9,98 € ;;;1.0;;
203500315;203500315;Transport- und Fußplatte 80x80;D=9 (M8) Gewinde M20;010221; 9,17 € ;;;1.0;;
203500316;203500316;Transport- und Fußplatte 50x100 M12 Zn ;Zinkdruckguss blak;010221; 9,11 € ;;;1.0;;
203500317;203500317;Transport- und Fußplatte 50x100 M16 Zn ;Zinkdruckguss blak;010221; 9,11 € ;;;1.0;;
203500350;203500350;Transport- und Fußplatte 40x80mm;D=7 (M8) Gewinde M8 ;010221; 8,37 € ;;;1.0;;
203500400;0.0.439.16;Transport- und Fußplatte 30x60mm;D=7 (M6) Gewinde M10, ;010221; 5,61 € ;;;1.0;;
203500401;0.0.431.06;Transport- und Fußplatte 30x60mm;D=7 (M6) Gewinde M12;010221; 5,61 € ;;;1.0;;
203500402;0.0.431.07;Transport- und Fußplatte 30x60mm;D=7 (M6) Gewinde M16;010221; 5,61 € ;;;1.0;;
203500403;0.0.464.64;Transport- und Fußplatte 40x40mm Nut 5;D=5,5 (M5) Gewinde M8;010221; 6,03 € ;;;1.0;;
203500403;0.0.437.59;Transport- und Fußplatte 40x40mm Nut 5;D=5,5 (M5) Gewinde M8;010221; 6,03 € ;;;1.0;;
203500404;0.0.464.65;Transport- und Fußplatte 40x40mm Nut 5;D=5,5 (M5) Gewinde M10;010221; 6,03 € ;;;1.0;;
203500404;0.0.437.60;Transport- und Fußplatte 40x40mm Nut 5;D=5,5 (M5) Gewinde M10;010221; 6,03 € ;;;1.0;;
203500405;0.0.464.66;Transport- und Fußplatte 40x40mm Nut 5;D=5,5 (M5) Gewinde M12;010221; 6,03 € ;;;1.0;;
203500405;0.0.437.61;Transport- und Fußplatte 40x40mm Nut 5;D=5,5 (M5) Gewinde M12;010221; 6,03 € ;;;1.0;;
203500406;0.0.440.71;Transport- und Fußplatte 40x80mm;D=9 (M8) Gewinde M10;010221; 7,89 € ;;;1.0;;
203500407;0.0.406.32;Transport- und Fußplatte 40x80mm;D=9 (M8) Gewinde M12;010221; 7,89 € ;;;1.0;;
203500408;0.0.406.33;Transport- und Fußplatte 40x80mm;D=9 (M8) Gewinde M16;010221; 7,89 € ;;;1.0;;
203500409;0.0.439.15;Transport- und Fußplatte 60x60mm;D=7 (M6) Gewinde M10;010221; 8,12 € ;;;1.0;;
203500410;0.0.431.08;Transport- und Fußplatte 60x60mm;D=7 (M6) Gewinde M12;010221; 8,12 € ;;;1.0;;
203500411;0.0.431.09;Transport- und Fußplatte 60x60mm;D=7 (M6) Gewinde M16;010221; 8,12 € ;;;1.0;;
203500412;0.0.440.72;Transport- und Fußplatte 80x80mm;D=9 (M8) Gewinde M10;010221; 10,60 € ;;;1.0;;
203500413;0.0.406.22;Transport- und Fußplatte 80x80mm;D=9 (M8) Gewinde M12;010221; 10,60 € ;;;1.0;;
203500414;0.0.406.23;Transport- und Fußplatte 80x80mm;D=9 (M8) Gewinde M16;010221; 10,60 € ;;;1.0;;
203500415;0.0.406.24;Transport- und Fußplatte 80x80mm;D=9 (M8) Gewinde M20;010221; 11,02 € ;;;1.0;;
203500416;0.0.625.15;Transport- und Fußplatte 50x100 M12 Zn ;Zinkdruckguss schwarz pulverbeschichtet;010221; 10,80 € ;;;1.0;;
203500417;0.0.625.16;Transport- und Fußplatte 50x100 M16 Zn ;Zinkdruckguss schwarz pulverbeschichtet;010221; 10,80 € ;;;1.0;;
203600101;203600101;30 Teller mit Anti-Slip Platte;für Gelenkstellfüße Kugel 15;010221; 1,76 € ;;;1.0;;
203600103;203600103;40 Teller mit Anti-Slip Platte;für Gelenkstellfüße Kugel 15;010221; 1,95 € ;;;1.0;;
203600104;203600104;"45 Teller für Gelenkstellfüße D=44mm;";Tragkraft 900 kg;010221; 1,10 € ;;;1.0;;
203600105;203600105;45 Teller mit Anti-Slip Platte;für Gelenkstellfüße Kugel 15;010221; 1,76 € ;;;1.0;;
203600106;203600106;50 Teller für Gelenkstellfüße Kugel 1;-;010221; 1,10 € ;;;1.0;;
203600107;203600107;50 Teller mit Anti-Slip Platte;für Gelenkstellfüße Kugel 15;010221; 1,76 € ;;;1.0;;
203600109;203600109;Teller 60 mit Anti-Slip Platte;für Gelenkstellfüße Kugel 15;010221; 2,15 € ;;;1.0;;
203600111;203600111;80 Teller mit Anti-Slip Platte;für Gelenkstellfüße Kugel 15;010221; 2,30 € ;;;1.0;;
203600112;203600112;100 Teller für Gelenkstellfüße Kugel ;-;010221; 2,39 € ;;;1.0;;
203600113;203600113;100 Teller mit Anti-Slip Platte;für Gelenkstellfüße Kugel 15;010221; 4,47 € ;;;1.0;;
203600115;203600115;Teller 30 Gelenk Mini K mit ASP;-;010221; 0,75 € ;;;1.0;;
203600200;203600200;60 Trapezteller ;für Gelenkstellfüße Kugel 15;010221; 4,64 € ;;;1.0;;
203600201;203600201;60 Trapezteller mit Anti-Slip-Platte;für Gelenkstellfüße Kugel 15;010221; 5,32 € ;;;1.0;;
203600202;203600202;80 Trapezteller;für Gelenkstellfüße Kugel 15;010221; 6,52 € ;;;1.0;;
203600203;203600203;80 Trapezteller mit Anti-Slip-Platte;für Gelenkstellfüße Kugel 15;010221; 7,62 € ;;;1.0;;
203600250;203600250;60 Quadratteller;für Gelenkstellfüße Kugel 15;010221; 5,60 € ;;;1.0;;
203600251;203600251;60 Quadratteller mit Anti-Slip.-Platte;für Gelenkstellfüße Kugel 15;010221; 6,46 € ;;;1.0;;
203600252;203600252;80 Quadratteller;für Gelenkstellfüße Kugel 15;010221; 8,22 € ;;;1.0;;
203600253;203600253;80 Quadratteller mit Anti-Slip-Platte;für Gelenkstellfüße Kugel 15;010221; 9,56 € ;;;1.0;;
203600254;203600254;100 Quadratteller;für Gelenkstellfüße Kugel 15;010221; 11,24 € ;;;1.0;;
203600255;203600255;100 Quadratteller mit Anti-Slip-Platte;für Gelenkstellfüße Kugel 15;010221; 13,81 € ;;;1.0;;
203600300;203600300;Gewindest.m.Kugel 15 M8x25 ;Material: Stahl verzinkt;010221; 1,28 € ;;;1.0;;
203600302;203600302;Gewindest.m.Kugel 15 M8x80;Material: Stahl verzinkt;010221; 1,47 € ;;;1.0;;
203600303;203600303;Gewindest.m.Kugel 15 M10x45 ;Material: Stahl verzinkt;010221; 1,47 € ;;;1.0;;
203600304;203600304;Gewindest.m.Kugel 15 M10x70;Material: Stahl verzinkt;010221; 1,54 € ;;;1.0;;
203600305;203600305;Gewindest.m.Kugel 15 M10x90 ;Material: Stahl verzinkt;010221; 1,54 € ;;;1.0;;
203600306;203600306;Gewindest.m.Kugel 15 M10x125 ;Material: Stahl verzinkt;010221; 1,92 € ;;;1.0;;
203600307;203600307;Gewindest.m.Kugel 15 M10x150 ;Material: Stahl verzinkt;010221; 2,74 € ;;;1.0;;
203600308;203600308;Gewindest.m.Kugel 15 M12x45 ;Material: Stahl verzinkt;010221; 1,68 € ;;;1.0;;
203600310;203600310;Gewindest.m.Kugel 15 M12x100 ;Material: Stahl verzinkt;010221; 1,74 € ;;;1.0;;
203600312;203600312;Gewindest.m.Kugel 15 M12x150 ;Material: Stahl verzinkt;010221; 1,98 € ;;;1.0;;
203600314;203600314;Gewindest.m.Kugel 15 M16x100 ;Material: Stahl verzinkt;010221; 2,25 € ;;;1.0;;
203600316;203600316;Gewindest.m.Kugel 15 M16x150 ;Material: Stahl verzinkt;010221; 3,24 € ;;;1.0;;
203600317;203600317;Gewindest.m.Kugel 15 M16x200 ;Material: Stahl verzinkt;010221; 4,15 € ;;;1.0;;
203600318;203600318;Gewindest.m.Kugel 10 M5x40 Stahl vz SW10;-;010221; 1,13 € ;;;1.0;;
203600319;203600319;Gewindestange für Gelenkstellfuß;"Kugel 15mm, stahl verzinkt; M20x300";010221; 16,63 € ;;;1.0;;
203600350;203600350;Gewindest.m.Kugel 15 M8x25 ;Material: Edelstahl;010221; 2,52 € ;;;1.0;;
203600352;203600352;Gewindest.m.Kugel 15 M8x80 ;Material: Edelstahl;010221; 3,72 € ;;;1.0;;
203600353;203600353;Gewindest.m.Kugel 15 M10x45 ;Material: Edelstahl;010221; 3,28 € ;;;1.0;;
203600354;203600354;Gewindest.m.Kugel 15 M10x70 ;Material: Edelstahl;010221; 3,52 € ;;;1.0;;
203600355;203600355;Gewindest.m.Kugel 15 M10x90 ;Material: Edelstahl;010221; 3,82 € ;;;1.0;;
203600356;203600356;Gewindest.m.Kugel 15 M10x125;Material: Edelstahl;010221; 4,69 € ;;;1.0;;
203600357;203600357;Gewindest.m.Kugel 15 M10x150;Material: Edelstahl;010221; 5,03 € ;;;1.0;;
203600358;203600358;Gewindest.m.Kugel 15 M12x45;Material: Edelstahl;010221; 4,12 € ;;;1.0;;
203600360;203600360;Gewindest.m.Kugel 15 M12x100;Material: Edelstahl;010221; 4,17 € ;;;1.0;;
203600362;203600362;Gewindest.m.Kugel 15 M12x150;Material: Edelstahl;010221; 5,55 € ;;;1.0;;
203600364;203600364;Gewindest.m.Kugel 15 M16x100;Material: Edelstahl;010221; 6,36 € ;;;1.0;;
